observation_date,CA_income_tax_thousands_of_dollars
1/1/42,29024
1/1/43,
1/1/44,48323
1/1/45,
1/1/46,44946
1/1/47,
1/1/48,49482
1/1/49,
1/1/50,60500
1/1/51,75516
1/1/52,91176
1/1/53,94324
1/1/54,96254
1/1/55,106557
1/1/56,127908
1/1/57,143339
1/1/58,149147
1/1/59,160680
1/1/60,245797
1/1/61,269653
1/1/62,298901
1/1/63,321921
1/1/64,391853
1/1/65,410486
1/1/66,454313
1/1/67,499470
1/1/68,951613
1/1/69,1086919
1/1/70,1150604
1/1/71,1266556
1/1/72,1838503
1/1/73,1886442
1/1/74,1803080
1/1/75,2456573
1/1/76,2957788
1/1/77,3620933
1/1/78,4632488
1/1/79,4758047
1/1/80,6463736
1/1/81,6589203
1/1/82,7467709
1/1/83,7649231
1/1/84,9238455
1/1/85,10762213
1/1/86,11368059
1/1/87,13874104
1/1/88,12864291
1/1/89,15815364
1/1/90,16824356
1/1/91,16817244
1/1/92,17029575
1/1/93,17200000
1/1/94,17547763
1/1/95,18344342
1/1/96,20760385
1/1/97,23272871
1/1/98,27784407
1/1/99,30732356
1/1/00,39574649
1/1/01,44614297
1/1/02,33046665
1/1/03,32709761
1/1/04,36398983
1/1/05,42992007
1/1/06,51219823
1/1/07,53318287
1/1/08,55745970
1/1/09,44355959
1/1/10,45646436
1/1/11,50508441
1/1/12,55024435
1/1/13,66809000
1/1/14,67995659
1/1/15,77929551
1/1/16,80753345
1/1/17,84196751
1/1/18,95152230
1/1/19,100079921
1/1/20,84412243
1/1/21,146324579
1/1/22,146190014
1/1/23,96379294
1/1/24,123101651